Spider_ID;Spider_species;Fly_genotype;Treatment;Total_infected;Total_healthy;Healthy_alive;Infected_alive;Healthy_eaten;Infected_eaten;Total_prey;ManlyAlpha
1;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;1;4;4;1;10;0,121764601
10;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;4;2;1;10;0,304023056
101;Salticidae;Canton_S;P.rettgeri_vs_PBS;4;5;3;3;2;1;9;0,36027464
102;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;2;4;3;1;10;0,19583714
103;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;2;3;3;2;10;0,357942519
104;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;1;2;4;10;0,759074466
105;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;2;2;3;10;0,642057481
106;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;2;2;3;10;0,642057481
107;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;1;2;4;10;0,759074466
108;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;4;1;1;4;10;0,878235399
109;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;4;1;1;4;10;0,878235399
11;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;4;2;1;10;0,304023056
110;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;4;1;1;4;10;0,878235399
111;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;2;2;3;10;0,642057481
112;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;2;3;3;2;10;0,357942519
113;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;2;3;3;2;10;0,357942519
114;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;1;2;4;10;0,759074466
12;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;0;4;5;1;10;0
13;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;4;2;1;10;0,304023056
14;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;1;2;4;10;0,759074466
2;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;2;3;3;2;10;0,357942519
3;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;4;3;3;1;2;9;0,63972536
4;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;2;3;3;2;10;0,357942519
5;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;2;2;3;10;0,642057481
7;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;2;2;3;3;10;0,5
8;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;3;2;2;3;10;0,642057481
9;Salticidae;Canton_S;P.rettgeri_vs_PBS;5;5;4;3;1;2;10;0,695976944
