Spider_ID;Species;Treatment;Time_of_tumor_induction;Cancer_eaten;Wt_eaten;Cancer_alive;Wt_alive;Total_Cancer;Total_Wt;Total_prey;ManlyAlpha
1;Salticids;Ctl vs Rasv12_ApcIR;10 days;4;1;1;4;5;5;10;0,878235399
2;Salticids;Ctl vs Rasv12_ApcIR;10 days;3;3;2;2;5;5;10;0,5
3;Salticids;Ctl vs Rasv12_ApcIR;10 days;2;2;3;3;5;5;10;0,5
4;Salticids;Ctl vs Rasv12_ApcIR;10 days;2;1;3;4;5;5;10;0,695976944
5;Salticids;Ctl vs Rasv12_ApcIR;10 days;2;2;3;3;5;5;10;0,5
6;Salticids;Ctl vs Rasv12_ApcIR;10 days;3;1;2;4;5;5;10;0,80416286
7;Salticids;Ctl vs Rasv12_ApcIR;10 days;0;2;5;3;5;5;10;0
8;Salticids;Ctl vs Rasv12_ApcIR;10 days;3;2;2;3;5;5;10;0,642057481
9;Salticids;Ctl vs Rasv12_ApcIR;10 days;2;1;3;4;5;5;10;0,695976944
10;Salticids;Ctl vs Rasv12_ApcIR;10 days;2;0;3;5;5;5;10;1
11;Salticids;Ctl vs Rasv12_ApcIR;10 days;2;1;3;4;5;5;10;0,695976944
12;Salticids;Ctl vs Rasv12_ApcIR;10 days;3;2;2;3;5;5;10;0,642057481
13;Salticids;Ctl vs Rasv12_ApcIR;10 days;4;3;1;2;5;5;10;0,63721727
14;Salticids;Ctl vs Rasv12_ApcIR;10 days;1;2;4;3;5;5;10;0,304023056
15;Salticids;Ctl vs Rasv12_ApcIR;10 days;3;2;2;3;5;5;10;0,642057481
16;Salticids;Ctl vs Rasv12_ApcIR;10 days;1;0;4;5;5;5;10;1
17;Salticids;Ctl vs Rasv12_ApcIR;20 days;3;2;2;3;5;5;10;0,642057481
18;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;0;1;5;5;5;10;1
19;Salticids;Ctl vs Rasv12_ApcIR;20 days;3;1;2;4;5;5;10;0,80416286
20;Salticids;Ctl vs Rasv12_ApcIR;20 days;3;1;2;4;5;5;10;0,80416286
21;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;2;1;3;5;5;10;0,759074466
22;Salticids;Ctl vs Rasv12_ApcIR;20 days;3;1;2;4;5;5;10;0,80416286
23;Salticids;Ctl vs Rasv12_ApcIR;20 days;3;0;2;5;5;5;10;1
24;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;1;1;4;5;5;10;0,878235399
25;Salticids;Ctl vs Rasv12_ApcIR;20 days;2;2;3;3;5;5;10;0,5
26;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;1;1;4;5;5;10;0,878235399
27;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;1;1;4;5;5;10;0,878235399
28;Salticids;Ctl vs Rasv12_ApcIR;20 days;2;0;3;5;5;5;10;1
29;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;1;1;4;5;5;10;0,878235399
30;Salticids;Ctl vs Rasv12_ApcIR;20 days;2;4;3;1;5;5;10;0,240925534
31;Salticids;Ctl vs Rasv12_ApcIR;20 days;2;3;3;2;5;5;10;0,357942519
32;Salticids;Ctl vs Rasv12_ApcIR;20 days;5;0;0;5;5;5;10;1
33;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;2;1;3;5;5;10;0,759074466
34;Salticids;Ctl vs Rasv12_ApcIR;20 days;1;1;4;4;5;5;10;0,5
35;Salticids;Ctl vs Rasv12_ApcIR;20 days;4;2;1;3;5;5;10;0,759074466
36;Salticids;Ctl vs Rasv12_ApcIR;20 days;5;2;0;3;5;5;10;0,993050029
